主管機關	辦理單位	成立日期	負責人	連絡電話	傳真	電子郵件	地址	相關網站	X坐標	Y坐標	備註	最後更新時間
臺中市政府	臺中市豐原區圳寮社區發展協會	20051001	游宗敏	(04)25255678			臺中市豐原區圳寮里8鄰寶山路２５號之１					20170824
臺中市政府	臺中市豐原區南村社區發展協會	20070101	陳寬慧	(04)25242397			臺中市豐原區南村里5鄰圓環東路918號					20170824
臺中市政府	臺中市豐原區田心社區發展協會	20070101	林麗玉 	(04)25331123			臺中市豐原區豐田里11鄰豐南街２３９號					20170824
臺中市政府	臺中市豐原區翁明社區發展協會	20070901	蔡建全	(04)25227285			臺中市豐原區翁明里10鄰東仁街125號					20170824
臺中市政府	臺中市豐原區鎌村社區發展協會	20090801	陳淑萍	(04)25366478			臺中市豐原區鎌村里11鄰鎌村路271巷160-1號					20170824
臺中市政府	社團法人中華普露功德會	20061001	袁湘華	(04)25159317			臺中市豐原市豐西里1鄰中正路390號2樓					20170824
臺中市政府	臺中市豐原區南田社區發展協會	20090901	張文魁	(04)25221845			臺中市豐原區南田里21鄰水源路192巷80-1號2樓					20170824
臺中市政府	臺中市豐原區豐原社區發展協會	20111101	洪獻堂 	(04)25222168			臺中市豐原區豐原里7鄰新生北路155之1號					20170824
臺中市政府	臺中市豐原區豐榮社區發展協會	20110501	李慶武	(04)25240524			臺中市豐原區豐榮里7鄰新生北路155之1					20170824
臺中市政府	臺中市豐原區翁子社區發展協會	20110901	羅益奇	(04)25226039			臺中市豐原區翁子里5鄰豐勢路2段290巷12號					20170824
臺中市政府	臺中市豐原區朴子社區發展協會	20140101	邱德晁	(04)25273274			臺中市豐原區朴子里5鄰豐勢路二段535巷119號					20170824
臺中市政府	臺中市豐原區豐田社區發展協會	20160601	王鴻昌	(04)25296238			臺中市豐原區豐田里28鄰田心路二段272巷1號					20170824
臺中市政府	臺中市和平區健康促進推廣協會-DAYAN長青快樂學堂	20060501	蔡金火	(04)25941887			臺中市和平區南勢里11鄰東關路三段崑崙巷56-1號					20170824
臺中市政府	臺中市和平區達觀社區發展協會	20140101	吳二妹	(04)25911202			臺中市和平區達觀里3鄰東崎路一段50號					20170824
