CODE2,CODE1,CODEBASE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
祇ガ跋絏,祇ガ跋絏,程参璸跋絏,め计,计,╧┦计,┦计,戈丁
A1801-01,A1801-01-001,A1801-0004-00,48,185,90,95,"105Y12M"
A1801-01,A1801-01-001,A1801-0005-00,22,67,29,38,"105Y12M"
A1801-01,A1801-01-001,A1801-0008-00,42,174,90,84,"105Y12M"
A1801-01,A1801-01-002,A1801-0001-00,39,152,79,73,"105Y12M"
A1801-01,A1801-01-002,A1801-0002-00,5,16,10,6,"105Y12M"
A1801-01,A1801-01-002,A1801-0006-00,16,60,34,26,"105Y12M"
A1801-01,A1801-01-002,A1801-0012-00,81,257,127,130,"105Y12M"
A1801-01,A1801-01-003,A1801-0007-00,78,264,132,132,"105Y12M"
A1801-01,A1801-01-004,A1801-0009-00,125,409,231,178,"105Y12M"
A1801-01,A1801-01-005,A1801-0010-00,93,329,166,163,"105Y12M"
A1801-01,A1801-01-006,A1801-0014-00,71,288,144,144,"105Y12M"
A1801-01,A1801-01-007,A1801-0015-00,110,395,191,204,"105Y12M"
A1801-01,A1801-01-008,A1801-0017-00,97,391,198,193,"105Y12M"
A1801-02,A1801-02-001,A1801-0019-00,33,96,42,54,"105Y12M"
A1801-02,A1801-02-001,A1801-0020-00,93,286,116,170,"105Y12M"
A1801-02,A1801-02-002,A1801-0021-00,95,262,140,122,"105Y12M"
A1801-02,A1801-02-003,A1801-0023-00,34,119,67,52,"105Y12M"
A1801-02,A1801-02-003,A1801-0024-00,38,153,77,76,"105Y12M"
A1801-02,A1801-02-004,A1801-0026-00,98,276,133,143,"105Y12M"
A1801-02,A1801-02-005,A1801-0027-00,88,265,121,144,"105Y12M"
A1801-02,A1801-02-006,A1801-0028-00,19,56,29,27,"105Y12M"
A1801-02,A1801-02-006,A1801-0031-00,83,245,116,129,"105Y12M"
A1801-02,A1801-02-007,A1801-0035-00,211,522,242,280,"105Y12M"
A1801-02,A1801-02-008,A1801-0033-00,52,164,76,88,"105Y12M"
A1801-02,A1801-02-008,A1801-0036-00,46,144,72,72,"105Y12M"
A1801-02,A1801-02-009,A1801-0034-00,83,246,117,129,"105Y12M"
A1801-02,A1801-02-009,A1801-0038-00,42,102,46,56,"105Y12M"
A1801-03,A1801-03-001,A1801-0037-00,86,254,121,133,"105Y12M"
A1801-03,A1801-03-002,A1801-0022-00,13,39,25,14,"105Y12M"
A1801-03,A1801-03-002,A1801-0039-00,72,257,136,121,"105Y12M"
A1801-03,A1801-03-002,A1801-0051-00,15,64,37,27,"105Y12M"
A1801-03,A1801-03-002,A1801-0052-00,27,86,49,37,"105Y12M"
A1801-03,A1801-03-003,A1801-0042-00,43,127,59,68,"105Y12M"
A1801-03,A1801-03-003,A1801-0043-00,45,146,67,79,"105Y12M"
A1801-03,A1801-03-003,A1801-0055-00,26,79,36,43,"105Y12M"
A1801-03,A1801-03-004,A1801-0053-00,243,779,374,405,"105Y12M"
A1801-03,A1801-03-005,A1801-0049-00,58,178,85,93,"105Y12M"
A1801-03,A1801-03-005,A1801-0073-00,43,141,63,78,"105Y12M"
A1801-03,A1801-03-006,A1801-0060-00,83,244,119,125,"105Y12M"
A1801-03,A1801-03-007,A1801-0041-00,43,140,68,72,"105Y12M"
A1801-03,A1801-03-007,A1801-0062-00,74,214,98,116,"105Y12M"
A1801-03,A1801-03-008,A1801-0067-00,112,329,176,153,"105Y12M"
A1801-03,A1801-03-009,A1801-0072-00,34,85,43,42,"105Y12M"
A1801-04,A1801-04-001,A1801-0025-00,129,399,205,194,"105Y12M"
A1801-04,A1801-04-002,A1801-0032-00,91,262,116,146,"105Y12M"
A1801-04,A1801-04-003,A1801-0040-00,112,296,134,162,"105Y12M"
A1801-04,A1801-04-004,A1801-0054-00,235,590,268,322,"105Y12M"
A1801-04,A1801-04-005,A1801-0057-00,106,277,120,157,"105Y12M"
A1801-04,A1801-04-006,A1801-0063-00,125,315,149,166,"105Y12M"
A1801-04,A1801-04-006,A1801-0077-00,33,101,49,52,"105Y12M"
A1801-04,A1801-04-007,A1801-0071-00,125,334,161,173,"105Y12M"
A1801-04,A1801-04-008,A1801-0078-00,67,169,81,88,"105Y12M"
A1801-04,A1801-04-009,A1801-0088-00,108,302,154,148,"105Y12M"
A1801-06,A1801-06-001,A1801-0045-00,58,129,55,74,"105Y12M"
A1801-06,A1801-06-001,A1801-0047-00,54,164,73,91,"105Y12M"
A1801-06,A1801-06-002,A1801-0046-00,54,143,67,76,"105Y12M"
A1801-06,A1801-06-002,A1801-0048-00,24,75,36,39,"105Y12M"
A1801-06,A1801-06-003,A1801-0050-00,52,143,62,81,"105Y12M"
A1801-06,A1801-06-003,A1801-0059-00,18,52,24,28,"105Y12M"
A1801-06,A1801-06-004,A1801-0058-00,82,223,108,115,"105Y12M"
A1801-06,A1801-06-004,A1801-0064-00,97,243,117,126,"105Y12M"
A1801-06,A1801-06-005,A1801-0066-00,116,378,194,184,"105Y12M"
A1801-06,A1801-06-006,A1801-0068-00,58,167,72,95,"105Y12M"
A1801-06,A1801-06-006,A1801-0074-00,70,207,95,112,"105Y12M"
A1801-06,A1801-06-007,A1801-0076-00,38,118,62,56,"105Y12M"
A1801-06,A1801-06-007,A1801-0082-00,121,348,163,185,"105Y12M"
A1801-06,A1801-06-008,A1801-0065-00,86,184,85,99,"105Y12M"
A1801-06,A1801-06-008,A1801-0085-00,78,217,111,106,"105Y12M"
A1801-06,A1801-06-009,A1801-0098-00,77,227,111,116,"105Y12M"
A1801-07,A1801-07-001,A1801-0056-00,39,82,40,42,"105Y12M"
A1801-07,A1801-07-001,A1801-0075-00,132,312,148,164,"105Y12M"
A1801-07,A1801-07-002,A1801-0069-00,52,145,63,82,"105Y12M"
A1801-07,A1801-07-002,A1801-0080-00,61,217,114,103,"105Y12M"
A1801-07,A1801-07-003,A1801-0079-00,145,384,187,197,"105Y12M"
A1801-07,A1801-07-004,A1801-0083-00,114,305,141,164,"105Y12M"
A1801-07,A1801-07-005,A1801-0089-00,82,193,92,101,"105Y12M"
A1801-07,A1801-07-006,A1801-0095-00,74,209,99,110,"105Y12M"
A1801-07,A1801-07-007,A1801-0102-00,44,131,61,70,"105Y12M"
