CODEBASE,H_CNT,H_BED,OLDW_CNT,TYPE6,TYPE3,TYPE4,TYPE5,TYPE7,ECARE_CNT
A1801-0148-00,0,0,0,0,0,0,0,0,0
A1801-0151-00,0,0,0,0,0,0,0,0,0
A1801-0152-00,3,0,0,0,0,0,0,0,0
A1801-0157-00,0,0,0,0,0,0,0,0,0
A1801-0162-00,0,0,0,0,0,0,0,0,0
A1801-0163-00,0,0,0,0,0,0,0,0,0
A1801-0168-00,0,0,0,0,0,0,0,0,0
A1801-0172-00,0,0,0,0,0,0,0,0,0
A1801-0173-00,0,0,0,0,0,0,0,0,0
A1801-0179-00,0,0,0,0,0,0,0,0,0
A1801-0181-00,0,0,0,0,0,0,0,0,0
A1801-0187-00,0,0,0,0,0,0,0,0,0
A1801-0191-00,0,0,0,0,0,0,0,0,0
A1801-0192-00,3,1,0,0,0,0,0,0,0
A1801-0194-00,1,0,0,0,0,0,0,0,0
A1801-0196-00,0,0,0,0,0,0,0,0,0
A1801-0197-00,0,0,0,0,0,0,0,0,0
A1801-0199-00,1,0,0,0,0,0,0,0,0
A1801-0204-00,4,2,0,0,0,0,0,0,0
A1801-0207-00,0,0,0,0,0,0,0,0,0
A1801-0213-00,0,0,0,0,0,0,0,0,0
A1801-0218-00,0,0,0,0,0,0,0,0,0
A1801-0220-00,0,0,0,0,0,0,0,0,0
A1801-0227-00,0,0,0,0,0,0,0,0,0
A1801-0228-00,0,0,0,0,0,0,0,0,0
A1801-0229-00,0,0,0,0,0,0,0,0,0
A1801-0230-00,0,0,0,0,0,0,0,0,0
A1801-0235-00,0,0,0,0,0,0,0,0,0
A1801-0237-00,0,0,0,0,0,0,0,0,0
A1801-0238-00,0,0,0,0,0,0,0,0,0
A1801-0241-00,0,0,0,0,0,0,0,0,0
A1801-0247-00,0,0,0,0,0,0,0,0,0
A1801-0154-00,2,0,0,0,0,0,0,0,0
A1801-0156-00,0,0,0,0,0,0,0,0,0
A1801-0159-00,0,0,0,0,0,0,0,0,0
A1801-0178-00,0,0,0,0,0,0,0,0,0
A1801-0186-00,1,1,0,0,0,0,0,0,0
A1801-0200-00,0,0,0,0,0,0,0,0,0
A1801-0201-00,2,65,0,0,0,0,0,0,0
A1801-0208-00,0,0,0,0,0,0,0,0,0
A1801-0210-00,0,0,0,0,0,0,0,0,0
A1801-0215-00,5,1,0,0,0,0,0,0,0
A1801-0217-00,2,0,0,0,0,0,0,0,0
A1801-0219-00,0,0,0,0,0,0,0,0,0
A1801-0223-00,0,0,0,0,0,0,0,0,0
A1801-0233-00,0,0,0,0,0,0,0,0,0
A1801-0234-00,0,0,0,0,0,0,0,0,0
A1801-0251-00,0,0,0,0,0,0,0,0,0
A1801-0253-00,0,0,0,0,0,0,0,0,0
A1801-0261-00,0,0,0,0,0,0,0,0,0
A1801-0268-00,0,0,0,0,0,0,0,0,0
A1801-0272-00,5,3,0,0,0,0,0,0,0
A1801-0275-00,0,0,0,0,0,0,0,0,0
A1801-0276-00,0,0,0,0,0,0,0,0,0
A1801-0277-00,0,0,0,0,0,0,0,0,0
A1801-0280-00,0,0,0,0,0,0,0,0,1
A1801-0283-00,1,0,0,0,0,0,0,0,0
A1801-0286-00,1,0,0,0,0,0,0,0,0
A1801-0290-00,1,0,0,0,0,0,0,0,0
A1801-0291-00,0,0,0,0,0,0,0,0,0
A1801-0295-00,1,2,0,0,0,0,0,0,0
A1801-0302-00,0,0,0,0,0,0,0,0,0
A1801-0303-00,0,0,0,0,0,0,0,0,0
A1801-0305-00,0,0,0,0,0,0,0,0,0
A1801-0145-00,1,0,0,0,0,0,0,0,0
A1801-0146-00,0,0,0,0,0,0,0,0,0
A1801-0147-00,0,0,0,0,0,0,0,0,0
A1801-0149-00,0,0,0,0,0,0,0,0,0
A1801-0155-00,0,0,0,0,0,0,0,0,0
A1801-0158-00,0,0,0,0,0,0,0,0,0
A1801-0160-00,3,3,0,0,0,0,0,0,0
A1801-0164-00,0,0,0,0,0,0,0,0,0
A1801-0165-00,0,0,0,0,0,0,0,0,0
A1801-0170-00,1,36,0,0,0,0,0,0,0
A1801-0174-00,4,1,0,0,0,0,0,0,0
A1801-0177-00,0,0,0,0,0,0,0,0,0
A1801-0180-00,0,0,0,0,0,0,0,0,0
A1801-0183-00,0,0,0,0,0,0,0,0,0
A1801-0184-00,0,0,0,0,0,0,0,0,0
A1801-0185-00,2,7,0,0,0,0,0,0,0
A1801-0190-00,0,0,0,0,0,0,0,0,0
A1801-0193-00,0,0,0,0,0,0,0,0,0
