OBJECTID,STName,class,C_1,C_2,U_ID,CODEBASE,xxoldman
5,東香里民活動中心,5,5,5,5.00000,5,44
32,光華里活動中心,32,32,32,32.00000,32,993
8,浸水里集會所,8,8,8,8.00000,8,202
37,金華社區發展協會,37,37,37,37.00000,37,760
30,水田社區發展協會,30,30,30,30.00000,30,963
4,士林里集會所,4,4,4,4.00000,4,169
27,福林里集會所,27,27,27,27.00000,27,1113
35,磐石社區發展協會,35,35,35,35.00000,35,1041
30,湳中里活動中心,30,30,30,30.00000,30,1172
12,香山社區發展協會,12,12,12,12.00000,12,234
27,三民里集會所,27,27,27,27.00000,27,509
32,親仁里集會所,32,32,32,32.00000,32,553
36,舊社里里民集會所,36,36,36,36.00000,36,630
39,科園社區發展協會,39,39,39,39.00000,39,329
15,立功社區發展協會,15,15,15,15.00000,15,692
6,中隘里集會所,6,6,6,6.00000,6,99
20,中埔里民活動中心,20,20,20,20.00000,20,454
11,前溪社區發展協會,11,11,11,11.00000,11,244
8,前溪里社區活動中心,8,8,8,8.00000,8,227
19,埔頂里集會所,19,19,19,19.00000,19,331
35,頂竹里集會所,35,35,35,35.00000,35,924
7,港北里集會所,7,7,7,7.00000,7,231
24,綠水里集會所(舊),24,24,24,24.00000,24,537
3,港北社區發展協會,3,3,3,3.00000,3,71
54,武陵里集會所,54,54,54,54.00000,54,2370
16,綠水里集會所,16,16,16,16.00000,16,336
7,海濱社區發展協會,7,7,7,7.00000,7,259
7,港南里民活動中心,7,7,7,7.00000,7,111
8,龍山里集會所,8,8,8,8.00000,8,110
23,香山里集會所,23,23,23,23.00000,23,436
32,新竹市北區湳雅社區發,32,32,32,32.00000,32,666
11,康樂里集會所,11,11,11,11.00000,11,311
20,育賢里集會所,20,20,20,20.00000,20,612
16,綠水里集會所(新),16,16,16,16.00000,16,336
15,坤山麗池社區,15,15,15,15.00000,15,376
37,金華里活動中心,37,37,37,37.00000,37,760
17,三民里社區活動中心,17,17,17,17.00000,17,408
31,東門社區發展協會,31,31,31,31.00000,31,939
11,前溪復興里聯合集會所,11,11,11,11.00000,11,244
25,文華里集會所,25,25,25,25.00000,25,608
14,虎山里民活動中心,14,14,14,14.00000,14,236
28,振興里集會所,28,28,28,28.00000,28,873
3,茄苳里集會所,3,3,3,3.00000,3,41
14,柴橋里發展協會,14,14,14,14.00000,14,258
7,美山里集會所,7,7,7,7.00000,7,182
10,境福里社區活動中心,10,10,10,10.00000,10,291
25,文華五十厝仁愛促進協,25,25,25,25.00000,25,608
17,曲溪里集會所,17,17,17,17.00000,17,592
30,育英里發展協會,30,30,30,30.00000,30,831
10,海山社區發展協會,10,10,10,10.00000,10,244
11,康樂社區發展協會,11,11,11,11.00000,11,311
23,新莊里集會所,23,23,23,23.00000,23,358
36,親仁里錦華里集會所,36,36,36,36.00000,36,619
3,茄苳社區發展協會,3,3,3,3.00000,3,41
6,朝山里集會所(舊),6,6,6,6.00000,6,164
37,金竹里集會所,37,37,37,37.00000,37,756
8,金雅社區發展協會,8,8,8,8.00000,8,227
32,西雅里集會所,32,32,32,32.00000,32,1047
6,南港里民活動中心,6,6,6,6.00000,6,112
28,振興社區發展協會,28,28,28,28.00000,28,873
10,海濱里民眾活動中心,10,10,10,10.00000,10,281
8,水源里集會所,8,8,8,8.00000,8,302
23,南勢社區發展協會,23,23,23,23.00000,23,463
45,台溪里集會所,45,45,45,45.00000,45,1107
32,關東社區發展協會,32,32,32,32.00000,32,634
23,香山里民活動中心,23,23,23,23.00000,23,436
7,鹽水里集會所,7,7,7,7.00000,7,181
31,武陵社區發展協會,31,31,31,31.00000,31,1366
37,境福社區發展協會,37,37,37,37.00000,37,821
4,朝山里集會所（新）,4,4,4,4.00000,4,129
7,士林社區發展協會,7,7,7,7.00000,7,196
36,興南里集會所,36,36,36,36.00000,36,1085
5,香村社區發展協會,5,5,5,5.00000,5,106
21,公園社區發展協會,21,21,21,21.00000,21,353
10,內湖里集會所,10,10,10,10.00000,10,239
35,磐石里集會所暨社區活,35,35,35,35.00000,35,1041
14,虎山里集會所,14,14,14,14.00000,14,236
64,頂埔里民活動中心,64,64,64,64.00000,64,1970
24,福林社區發展協會,24,24,24,24.00000,24,828
32,西雅社區發展協會,32,32,32,32.00000,32,872
19,明湖里活動中心,19,19,19,19.00000,19,280
29,育英里集會所,29,29,29,29.00000,29,835
29,湳雅里社區活動中心,29,29,29,29.00000,29,591
5,鹽水里民活動中心,5,5,5,5.00000,5,161
19,金山里集會所,19,19,19,19.00000,19,358
58,南門聯里活動中心,58,58,58,58.00000,58,1872
7,港南里集會所,7,7,7,7.00000,7,111
10,內湖社區發展協會,10,10,10,10.00000,10,239
4,千甲里集會所,4,4,4,4.00000,4,90
7,樹下社區發展協會,7,7,7,7.00000,7,229
12,湖濱人文關懷協會,12,12,12,12.00000,12,284
14,舊港社區發展協會,14,14,14,14.00000,14,239
5,水源社區發展協會,5,5,5,5.00000,5,192
