縣市代碼,遷出縣市,鄉鎮代碼,鄉鎮市區,二級發布區代碼,一級發布區代碼,最小統計區代碼,醫療院所家數,醫療院所床數,老人安養機構家數,立案老人福利團體家數,老人安養、養護、長期照護機構家數,居家服務支援中心家數,老人服務中心家數,身心障礙福利機構家數,社區照顧關懷據點家數,
COUNTY_ID,COUNTY,TOWN_ID,TOWN,CODE2,CODE1,CODEBASE,H_CNT,H_BED,OLDW_CNT,TYPE6,TYPE3,TYPE4,TYPE5,TYPE7,ECARE_CNT,
10018,新竹市,10018010,東區,A1801-10,A1801-10-005,A1801-0148-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-09,A1801-09-007,A1801-0151-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-15,A1801-15-001,A1801-0152-00,3,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-09,A1801-09-007,A1801-0157-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-32,A1801-32-001,A1801-0162-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-10,A1801-10-006,A1801-0163-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-12,A1801-12-006,A1801-0168-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-15,A1801-15-003,A1801-0172-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-14,A1801-14-005,A1801-0173-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-15,A1801-15-003,A1801-0179-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-13,A1801-13-006,A1801-0181-00,0,0,0,0,0,0,0,0,0,
10018,新竹市,10018010,東區,A1801-13,A1801-13-008,A1801-0187-00,0,0,0,0,0,0,0,0,0,
