縣市代碼,遷出縣市,鄉鎮代碼,鄉鎮市區,二級發布區代碼,一級發布區代碼,最小統計區代碼,扶養比,扶老比,老化指數,人口密度,戶量,人口數,戶數,65歲以上人口數,0-14歲人口數,15-64歲人口數,
COUNTY_ID,COUNTY,TOWN_ID,TOWN,CODE2,CODE1,CODEBASE,DEPENDENCY_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,P_DEN,P_H_CNT,P_CNT,H_CNT,A65UP_CNT,A0A14_CNT,A15A64_CNT,
10018,新竹市,10018010,東區,A1801-10,A1801-10-004,A1801-0150-00,47.27,23.64,100,12095.23,2.79,81,29,13,13,55,
10018,新竹市,10018010,東區,A1801-09,A1801-09-008,A1801-0153-00,46.67,31.11,200,6441.97,2.64,66,25,14,7,45,
10018,新竹市,10018010,東區,A1801-13,A1801-13-006,A1801-0161-00,44,8.8,25,19312.97,2.79,360,129,22,88,250,
10018,新竹市,10018010,東區,A1801-09,A1801-09-008,A1801-0166-00,52.46,21.31,68.42,14865.93,2.66,93,35,13,19,61,
10018,新竹市,10018010,東區,A1801-09,A1801-09-009,A1801-0167-00,50,20.99,72.34,27205.33,2.38,243,102,34,47,162,
10018,新竹市,10018010,東區,A1801-12,A1801-12-007,A1801-0169-00,41.47,24.42,143.24,1790.7,3.41,307,90,53,37,217,
10018,新竹市,10018010,東區,A1801-10,A1801-10-008,A1801-0171-00,39.66,10.92,38,29548.86,2.7,243,90,19,50,174,
10018,新竹市,10018010,東區,A1801-14,A1801-14-006,A1801-0175-00,66.13,22.58,51.85,16382.5,3.43,103,30,14,27,62,
10018,新竹市,10018010,東區,A1801-12,A1801-12-008,A1801-0176-00,39.87,22.88,134.62,3999.64,3.63,214,59,35,26,153,
10018,新竹市,10018010,東區,A1801-14,A1801-14-005,A1801-0182-00,48.81,20.24,70.83,44101.12,2.55,125,49,17,24,84,
10018,新竹市,10018010,東區,A1801-14,A1801-14-005,A1801-0188-00,48,17.33,56.52,26210.18,3.17,111,35,13,23,75,
10018,新竹市,10018010,東區,A1801-11,A1801-11-010,A1801-0189-00,72.22,55.56,333.33,161.15,2.21,31,14,10,3,18,
10018,新竹市,10018010,東區,A1801-15,A1801-15-007,A1801-0195-00,51.35,21.62,72.73,7066.85,2.95,56,19,8,11,37,
10018,新竹市,10018010,東區,A1801-11,A1801-11-010,A1801-0202-00,34.85,15.15,76.92,1109.65,2.97,89,30,10,13,66,
10018,新竹市,10018010,東區,A1801-23,A1801-23-001,A1801-0203-00,54.33,24.41,81.58,3531.57,3.27,196,60,31,38,127,
10018,新竹市,10018010,東區,A1801-13,A1801-13-005,A1801-0209-00,55.36,19.64,55,18826.12,3.22,87,27,11,20,56,
10018,新竹市,10018010,東區,A1801-18,A1801-18-001,A1801-0211-00,,,,,,,,,,,
10018,新竹市,10018010,東區,A1801-23,A1801-23-001,A1801-0216-00,52.6,17.53,50,3903.82,3.73,235,63,27,54,154,
10018,新竹市,10018010,東區,A1801-18,A1801-18-002,A1801-0225-00,39.16,11.45,41.3,13866.54,2.66,231,87,19,46,166,
10018,新竹市,10018010,東區,A1801-16,A1801-16-004,A1801-0236-00,55.77,36.54,190,16146.24,2.38,81,34,19,10,52,
10018,新竹市,10018010,東區,A1801-19,A1801-19-001,A1801-0240-00,39.69,7.78,24.39,149278.1,2.55,359,141,20,82,257,
10018,新竹市,10018010,東區,A1801-20,A1801-20-002,A1801-0242-00,52.78,18.06,52,34213.99,2.89,110,38,13,25,72,
10018,新竹市,10018010,東區,A1801-19,A1801-19-002,A1801-0249-00,44.29,12.46,39.13,45649.76,2.71,417,154,36,92,289,
10018,新竹市,10018010,東區,A1801-18,A1801-18-003,A1801-0252-00,59.32,23.73,66.67,17153.09,3.92,94,24,14,21,59,
10018,新竹市,10018010,東區,A1801-18,A1801-18-003,A1801-0254-00,52.75,21.98,71.43,13289.14,2.84,139,49,20,28,91,
10018,新竹市,10018010,東區,A1801-19,A1801-19-004,A1801-0263-00,63.89,25.46,66.27,35528.92,2.77,354,128,55,83,216,
10018,新竹市,10018010,東區,A1801-16,A1801-16-004,A1801-0265-00,45.79,34.58,308.33,7214.49,2.11,156,74,37,12,107,
10018,新竹市,10018010,東區,A1801-18,A1801-18-004,A1801-0266-00,43.08,7.69,21.74,39142.88,2.61,465,178,25,115,325,
10018,新竹市,10018010,東區,A1801-20,A1801-20-005,A1801-0270-00,58.33,22.62,63.33,25205.34,3.24,133,41,19,30,84,
10018,新竹市,10018010,東區,A1801-32,A1801-32-003,A1801-0271-00,34.23,24.32,245.45,645.63,3.31,149,45,27,11,111,
10018,新竹市,10018010,東區,A1801-16,A1801-16-005,A1801-0281-00,57.69,40.38,233.33,10134.72,2.31,164,71,42,18,104,
10018,新竹市,10018010,東區,A1801-36,A1801-36-008,A1801-0563-00,49.52,22.86,85.71,14219.07,2.85,157,55,24,28,105,
10018,新竹市,10018010,東區,A1801-42,A1801-42-003,A1801-0564-00,34.2,22.28,186.96,15494.85,2.62,259,99,43,23,193,
10018,新竹市,10018010,東區,A1801-40,A1801-40-008,A1801-0565-00,0,0,0,668.72,1.33,4,3,4,0,0,
10018,新竹市,10018010,東區,A1801-36,A1801-36-007,A1801-0574-00,52.5,17.92,51.81,50144.66,2.47,366,148,43,83,240,
10018,新竹市,10018010,東區,A1801-45,A1801-45-001,A1801-0576-00,32.92,3.11,10.42,88814.31,2.3,214,93,5,48,161,
10018,新竹市,10018010,東區,A1801-45,A1801-45-002,A1801-0579-00,43.71,23.35,114.71,21180.49,3.43,240,70,39,34,167,
10018,新竹市,10018010,東區,A1801-41,A1801-41-007,A1801-0581-00,20.22,7.49,58.82,68752.85,2.61,321,123,20,34,267,
10018,新竹市,10018010,東區,A1801-44,A1801-44-001,A1801-0595-00,42.18,20.41,93.75,23462.55,2.4,209,87,30,32,147,
10018,新竹市,10018010,東區,A1801-36,A1801-36-008,A1801-0596-00,60.38,32.08,113.33,25700.95,2.66,85,32,17,15,53,
10018,新竹市,10018010,東區,A1801-39,A1801-39-004,A1801-0600-00,55.88,36.76,192.31,15916.04,3.03,106,35,25,13,68,
10018,新竹市,10018010,東區,A1801-42,A1801-42-007,A1801-0605-00,26.67,22.22,500,17418.74,2.38,114,48,20,4,90,
10018,新竹市,10018010,東區,A1801-45,A1801-45-004,A1801-0610-00,45.24,26.19,137.5,17364.22,3.21,61,19,11,8,42,
10018,新竹市,10018010,東區,A1801-41,A1801-41-009,A1801-0618-00,33.06,8.47,34.43,31187.76,2.56,330,129,21,61,248,
10018,新竹市,10018010,東區,A1801-38,A1801-38-010,A1801-0631-00,33.89,18.33,117.86,16015,2.56,241,94,33,28,180,
10018,新竹市,10018010,東區,A1801-46,A1801-46-005,A1801-0632-00,45.85,31.44,218.18,12028.4,2.65,334,126,72,33,229,
10018,新竹市,10018010,東區,A1801-46,A1801-46-003,A1801-0633-00,59.72,35.07,142.31,28000.06,3.01,337,112,74,52,211,
10018,新竹市,10018010,東區,A1801-45,A1801-45-007,A1801-0634-00,45.16,35.48,366.67,35860.01,3,90,30,22,6,62,
10018,新竹市,10018010,東區,A1801-45,A1801-45-007,A1801-0636-00,34.4,19.2,126.32,17047.37,2.85,168,59,24,19,125,
10018,新竹市,10018010,東區,A1801-38,A1801-38-009,A1801-0638-00,25.58,11.63,83.33,595.4,2.25,54,24,5,6,43,
10018,新竹市,10018010,東區,A1801-47,A1801-47-002,A1801-0640-00,14.52,4.84,50,563.34,3.09,71,23,3,6,62,
10018,新竹市,10018010,東區,A1801-41,A1801-41-010,A1801-0644-00,23.71,13.06,122.58,27474.63,2.65,360,136,38,31,291,
10018,新竹市,10018010,東區,A1801-42,A1801-42-009,A1801-0646-00,32.77,19.33,143.75,29873.11,2.93,158,54,23,16,119,
10018,新竹市,10018010,東區,A1801-46,A1801-46-005,A1801-0654-00,35.16,17.58,100,3561.36,2.86,123,43,16,16,91,
10018,新竹市,10018010,東區,A1801-42,A1801-42-010,A1801-0656-00,36.04,18.47,105.13,29279.74,2.75,302,110,41,39,222,
10018,新竹市,10018010,東區,A1801-38,A1801-38-009,A1801-0658-00,54.35,26.09,92.31,9742.53,2.37,71,30,12,13,46,
10018,新竹市,10018010,東區,A1801-44,A1801-44-007,A1801-0659-00,111.36,68.18,157.89,23077.26,2.74,93,34,30,19,44,
10018,新竹市,10018010,東區,A1801-42,A1801-42-010,A1801-0660-00,42.86,23.38,120,21386.46,2.68,110,41,18,15,77,
10018,新竹市,10018010,東區,A1801-45,A1801-45-008,A1801-0666-00,47.62,19.05,66.67,3300.48,3.72,93,25,12,18,63,
10018,新竹市,10018010,東區,A1801-45,A1801-45-006,A1801-0673-00,46.8,1.91,4.26,38288.48,2.05,2227,1086,29,681,1517,
10018,新竹市,10018010,東區,A1801-44,A1801-44-010,A1801-0675-00,38.66,16.29,72.86,43138.71,2.93,434,148,51,70,313,
10018,新竹市,10018010,東區,A1801-10,A1801-10-005,A1801-0148-00,42.67,22,106.45,26732.73,3.24,214,66,33,31,150,
10018,新竹市,10018010,東區,A1801-09,A1801-09-007,A1801-0151-00,73.17,41.46,130.77,6738.94,2.03,71,35,17,13,41,
10018,新竹市,10018010,東區,A1801-15,A1801-15-001,A1801-0152-00,53.37,25.15,89.13,26165.64,3.29,250,76,41,46,163,
10018,新竹市,10018010,東區,A1801-09,A1801-09-007,A1801-0157-00,31.82,9.09,40,40267.41,2.49,87,35,6,15,66,
10018,新竹市,10018010,東區,A1801-32,A1801-32-001,A1801-0162-00,35.2,16.76,90.91,2346.13,3.78,242,64,30,33,179,
10018,新竹市,10018010,東區,A1801-10,A1801-10-006,A1801-0163-00,42.13,15.28,56.9,40756.53,2.54,307,121,33,58,216,
10018,新竹市,10018010,東區,A1801-12,A1801-12-006,A1801-0168-00,35.45,17.99,103.03,2823.4,3.37,256,76,34,33,189,
10018,新竹市,10018010,東區,A1801-15,A1801-15-003,A1801-0172-00,58.18,32.73,128.57,15625.69,2.12,87,41,18,14,55,
